analyzer,analyzer_name,model,mode,files,full_findings,no_slither_findings,finding_reduction,full_findings_per_kloc,no_slither_findings_per_kloc,full_lower,equal,full_higher,discordant,full_lower_among_discordant,median_difference,p_value,holm_p_within_analyzer,holm_p_all_analyzers_models
slither,Slither,claude-sonnet-4-5,feedback_functionality_matched,55,160,177,0.096045197740113,18.524950793099453,20.54317548746518,7,48,0,7,1.0,0,0.015625,0.046875,0.1875
slither,Slither,gpt-5-mini,feedback_functionality_matched,47,81,81,0.0,11.89078097475044,12.102196324518154,9,37,1,10,0.9,0,0.021484375,0.046875,0.236328125
slither,Slither,gpt-5.1,feedback_functionality_matched,46,47,63,0.25396825396825395,4.653465346534654,6.302521008403361,8,37,1,9,0.8888888888888888,0.0,0.0390625,0.046875,0.390625
aderyn,Aderyn,claude-sonnet-4-5,feedback_functionality_matched,55,220,219,-0.0045662100456621,25.47180734051175,25.417827298050142,3,50,2,5,0.6,0,1.0,1.0,1.0
aderyn,Aderyn,gpt-5-mini,feedback_functionality_matched,48,184,187,0.016042780748663103,26.869158878504674,27.781904620413016,6,39,3,9,0.6666666666666666,0.0,0.5078125,1.0,1.0
aderyn,Aderyn,gpt-5.1,feedback_functionality_matched,46,179,187,0.0427807486631016,17.722772277227723,18.707482993197278,7,38,1,8,0.875,0.0,0.0703125,0.2109375,0.6328125
wake,Wake (Low+),claude-sonnet-4-5,feedback_functionality_matched,55,26,27,0.037037037037037035,3.0103045038786616,3.1337047353760448,1,54,0,1,1.0,0,1.0,1.0,1.0
wake,Wake (Low+),gpt-5-mini,feedback_functionality_matched,48,26,25,-0.04,3.796728971962617,3.71415837171297,0,47,1,1,0.0,0.0,1.0,1.0,1.0
wake,Wake (Low+),gpt-5.1,feedback_functionality_matched,46,12,14,0.14285714285714285,1.188118811881188,1.4005602240896358,2,44,0,2,1.0,0.0,0.5,1.0,1.0
semgrep,Semgrep + Decurity,claude-sonnet-4-5,feedback_functionality_matched,50,42,34,-0.23529411764705882,6.172839506172839,5.008839127872716,0,47,3,3,0.0,0.0,0.25,0.75,1.0
semgrep,Semgrep + Decurity,gpt-5-mini,feedback_functionality_matched,48,15,14,-0.07142857142857142,2.1904205607476634,2.079928688159263,0,47,1,1,0.0,0.0,1.0,1.0,1.0
semgrep,Semgrep + Decurity,gpt-5.1,feedback_functionality_matched,45,23,25,0.08,2.7199621570482497,2.993295019157088,2,43,0,2,1.0,0,0.5,1.0,1.0
slither,Slither,claude-sonnet-4-5,feedback_both_full_pass,39,131,132,0.007575757575757576,22.660439370351153,22.90473711608537,1,38,0,1,1.0,0,1.0,1.0,1.0
slither,Slither,gpt-5-mini,feedback_both_full_pass,30,72,62,-0.16129032258064516,22.23594811612106,19.018404907975462,5,24,1,6,0.8333333333333334,0.0,0.21875,0.65625,1.0
slither,Slither,gpt-5.1,feedback_both_full_pass,19,28,32,0.125,14.02103154732098,15.78687715836211,3,15,1,4,0.75,0,0.625,1.0,1.0
aderyn,Aderyn,claude-sonnet-4-5,feedback_both_full_pass,39,158,160,0.0125,27.330911606988412,27.763317716467117,2,37,0,2,1.0,0,0.5,1.0,1.0
aderyn,Aderyn,gpt-5-mini,feedback_both_full_pass,31,134,137,0.021897810218978103,40.928527794746486,41.540327471194665,6,22,3,9,0.6666666666666666,0,0.5078125,1.0,1.0
aderyn,Aderyn,gpt-5.1,feedback_both_full_pass,19,85,87,0.022988505747126436,42.563845768652975,42.92057227429699,2,17,0,2,1.0,0,0.5,1.0,1.0
wake,Wake (Low+),claude-sonnet-4-5,feedback_both_full_pass,39,24,25,0.04,4.151530877010898,4.338018393197987,1,38,0,1,1.0,0,1.0,1.0,1.0
